epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.1571,1.82656,3.14013,1.52031,0.36735,0.24903,0.2008,0.08174,2.11436,3.80181,1.84117,0.000302375,0.000302375,0.000302375
2,158.939,1.75413,2.17979,1.45511,0.45715,0.26885,0.25649,0.11218,2.12686,3.44821,1.89103,0.000599382,0.000599382,0.000599382
3,225.877,1.73659,1.93109,1.44052,0.43338,0.24849,0.22926,0.09638,2.21913,3.50086,1.83874,0.000890389,0.000890389,0.000890389
4,295.356,1.69573,1.73047,1.41783,0.39245,0.27977,0.23964,0.10411,2.20827,3.14061,1.92868,0.000882003,0.000882003,0.000882003
5,361.608,1.65909,1.59117,1.39703,0.41251,0.3064,0.2749,0.12411,2.17081,3.11384,1.89047,0.000873004,0.000873004,0.000873004
6,425.033,1.62732,1.51548,1.38038,0.4517,0.27818,0.26462,0.11972,2.16852,3.14294,1.81229,0.000864004,0.000864004,0.000864004
7,488.745,1.59981,1.42315,1.35393,0.50173,0.31217,0.29732,0.13498,2.10485,3.04004,1.81292,0.000855005,0.000855005,0.000855005
8,553.023,1.57381,1.35302,1.32818,0.48473,0.32525,0.3188,0.1466,2.12296,2.89695,1.8041,0.000846006,0.000846006,0.000846006
9,622.043,1.55654,1.34571,1.33283,0.51302,0.32295,0.31973,0.14664,2.13474,2.884,1.84561,0.000837007,0.000837007,0.000837007
10,689.307,1.55485,1.30863,1.32018,0.48694,0.31084,0.29246,0.13811,2.13712,3.04671,1.86662,0.000828008,0.000828008,0.000828008
11,749.479,1.52399,1.28559,1.31281,0.51276,0.32513,0.31999,0.1501,2.09859,2.91314,1.81429,0.000819009,0.000819009,0.000819009
12,806.335,1.51917,1.25173,1.30229,0.47516,0.33697,0.32543,0.15164,2.13902,2.88172,1.82146,0.00081001,0.00081001,0.00081001
13,862.883,1.50282,1.20471,1.29259,0.55349,0.34391,0.34024,0.16458,2.07294,2.85178,1.80057,0.000801011,0.000801011,0.000801011
14,919.72,1.48851,1.18231,1.28694,0.54331,0.34016,0.34105,0.16488,2.06768,2.88157,1.7958,0.000792012,0.000792012,0.000792012
15,976.515,1.47566,1.17182,1.28231,0.52699,0.34256,0.34187,0.16157,2.11107,2.86513,1.85213,0.000783013,0.000783013,0.000783013
16,1033.41,1.48107,1.16015,1.27553,0.56542,0.33151,0.34482,0.16738,2.06589,2.94947,1.79553,0.000774013,0.000774013,0.000774013
17,1095.09,1.46169,1.13685,1.26432,0.5419,0.35522,0.35944,0.1686,2.09781,2.85372,1.82354,0.000765014,0.000765014,0.000765014
18,1151.19,1.44173,1.11518,1.24967,0.55051,0.34507,0.34548,0.16742,2.05196,2.8745,1.76938,0.000756015,0.000756015,0.000756015
19,1207.12,1.43767,1.09421,1.24663,0.54567,0.34276,0.34551,0.1649,2.08571,2.94225,1.80833,0.000747016,0.000747016,0.000747016
20,1263.14,1.42851,1.07818,1.24132,0.53161,0.34618,0.34854,0.16805,2.09987,2.92789,1.81326,0.000738017,0.000738017,0.000738017
21,1319.14,1.4088,1.04645,1.23356,0.53513,0.36993,0.35851,0.17034,2.0647,2.80649,1.76269,0.000729018,0.000729018,0.000729018
22,1377.47,1.42317,1.05715,1.23565,0.52938,0.34843,0.33812,0.16651,2.08926,2.93672,1.76608,0.000720019,0.000720019,0.000720019
23,1435.65,1.41726,1.0424,1.23861,0.52468,0.3566,0.34605,0.16892,2.10844,2.85063,1.8125,0.00071102,0.00071102,0.00071102
24,1492.14,1.38918,1.00343,1.2222,0.54163,0.36641,0.35442,0.17216,2.10681,2.83649,1.81447,0.000702021,0.000702021,0.000702021
25,1548.14,1.38001,1.00293,1.21827,0.55428,0.34943,0.35313,0.17269,2.09431,2.93362,1.78158,0.000693022,0.000693022,0.000693022
26,1604.79,1.37782,0.99546,1.21727,0.57679,0.35348,0.3576,0.17548,2.07611,2.98593,1.75856,0.000684022,0.000684022,0.000684022
27,1660.73,1.38635,0.99283,1.21367,0.5669,0.3689,0.37043,0.18088,2.06866,2.77477,1.78475,0.000675023,0.000675023,0.000675023
28,1717.07,1.35895,0.97311,1.20595,0.55598,0.35686,0.35679,0.1756,2.07456,2.8374,1.79961,0.000666024,0.000666024,0.000666024
29,1778.5,1.36033,0.95758,1.20593,0.56517,0.37178,0.37789,0.18206,2.06931,2.80558,1.75481,0.000657025,0.000657025,0.000657025
30,1838.05,1.34903,0.95608,1.20058,0.57211,0.35704,0.35807,0.1763,2.10375,2.97261,1.83828,0.000648026,0.000648026,0.000648026
31,1897.35,1.35637,0.95996,1.19717,0.57292,0.35847,0.36182,0.17906,2.0675,2.84609,1.78109,0.000639027,0.000639027,0.000639027
32,1956.95,1.3431,0.94462,1.19667,0.54883,0.36531,0.36574,0.17829,2.11607,2.91457,1.82504,0.000630028,0.000630028,0.000630028
33,2016.26,1.33904,0.93996,1.18752,0.55509,0.36313,0.35524,0.17583,2.07135,2.85878,1.77984,0.000621029,0.000621029,0.000621029
34,2074.72,1.34146,0.92163,1.19521,0.56248,0.37056,0.36906,0.18157,2.07599,2.87915,1.80674,0.00061203,0.00061203,0.00061203
35,2136.32,1.33366,0.92538,1.18806,0.57986,0.3756,0.37199,0.18217,2.08524,2.93605,1.78347,0.000603031,0.000603031,0.000603031
36,2198.98,1.3205,0.90906,1.18354,0.60863,0.37624,0.37908,0.18743,2.0786,2.88013,1.78869,0.000594031,0.000594031,0.000594031
37,2266.36,1.3188,0.89395,1.17591,0.56118,0.37341,0.37086,0.18529,2.07733,2.84022,1.78518,0.000585032,0.000585032,0.000585032
38,2334,1.31359,0.90133,1.17428,0.58384,0.39444,0.38807,0.19002,2.08781,2.84637,1.78322,0.000576033,0.000576033,0.000576033
39,2402.62,1.30653,0.88923,1.17469,0.5845,0.38234,0.38017,0.18911,2.07187,2.8756,1.77996,0.000567034,0.000567034,0.000567034
40,2470.5,1.29355,0.87971,1.17056,0.61412,0.36119,0.3753,0.18771,2.0713,2.95278,1.79445,0.000558035,0.000558035,0.000558035
41,2537.69,1.30199,0.88139,1.17212,0.55918,0.38631,0.37507,0.18382,2.09187,2.82742,1.8073,0.000549036,0.000549036,0.000549036
42,2598.25,1.29363,0.87114,1.16781,0.59758,0.36839,0.3755,0.18554,2.1041,2.87185,1.79926,0.000540037,0.000540037,0.000540037
43,2657.05,1.28654,0.84942,1.15499,0.60008,0.38432,0.38301,0.18984,2.07619,2.90629,1.78941,0.000531038,0.000531038,0.000531038
44,2716.16,1.26907,0.85734,1.15239,0.58481,0.37959,0.37528,0.18862,2.07152,2.92226,1.78947,0.000522039,0.000522039,0.000522039
45,2777.63,1.27736,0.84192,1.15451,0.5836,0.3738,0.37127,0.1864,2.06561,2.96236,1.77582,0.00051304,0.00051304,0.00051304
46,2841.59,1.26765,0.84209,1.15191,0.59208,0.37717,0.38016,0.19044,2.07015,2.93189,1.76673,0.00050404,0.00050404,0.00050404
