epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.7145,1.65583,3.26227,1.71095,0.40866,0.27051,0.24956,0.11223,1.77704,3.12615,2.14585,0.000325758,0.000325758,0.000325758
2,57.5128,1.58102,1.79663,1.60612,0.32479,0.43389,0.34013,0.15624,1.85567,2.56559,2.34051,0.000652566,0.000652566,0.000652566
3,76.0351,1.70554,1.68134,1.62729,0.32176,0.34743,0.27494,0.10945,1.99649,4.64347,2.36405,0.000972774,0.000972774,0.000972774
4,93.9153,1.72603,1.64168,1.65535,0.64177,0.29879,0.31573,0.14968,2.00895,3.30265,2.37799,0.0009703,0.0009703,0.0009703
5,112.049,1.63298,1.54567,1.63372,0.46997,0.4694,0.39998,0.16546,2.05577,2.70088,2.45347,0.0009604,0.0009604,0.0009604
6,129.532,1.57935,1.46742,1.61596,0.30553,0.50223,0.33271,0.1504,2.09523,4.6394,2.54583,0.0009505,0.0009505,0.0009505
7,147.119,1.6398,1.486,1.60836,0.59677,0.42354,0.46162,0.20834,1.7743,1.65352,2.08707,0.0009406,0.0009406,0.0009406
8,164.737,1.63215,1.41838,1.57117,0.67374,0.36827,0.41933,0.20728,1.68732,1.71271,1.94273,0.0009307,0.0009307,0.0009307
9,182.942,1.60292,1.32392,1.57584,0.61327,0.48729,0.46894,0.21477,1.74478,2.0456,1.92888,0.0009208,0.0009208,0.0009208
10,200.522,1.65256,1.45697,1.59017,0.74995,0.37198,0.43827,0.20999,1.68107,1.65267,1.92845,0.0009109,0.0009109,0.0009109
11,218.083,1.52701,1.37592,1.53018,0.46528,0.45212,0.42394,0.19926,1.7343,1.74271,1.99326,0.000901,0.000901,0.000901
12,235.59,1.41896,1.17907,1.4847,0.53376,0.58959,0.54383,0.25518,1.65855,1.41329,1.90176,0.0008911,0.0008911,0.0008911
