epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9574,1.72062,2.6962,1.96789,0.55028,0.1188,0.0815,0.02054,2.17998,3.53198,2.81894,0.000366077,0.000366077,0.000366077
2,109.804,1.90091,2.41182,2.07297,0.14043,0.22759,0.09026,0.02425,2.33681,5.64395,3.23859,0.000736285,0.000736285,0.000736285
3,155.964,1.99207,2.51976,2.15993,0.30611,0.14891,0.0499,0.01468,2.77348,13.1922,3.36808,0.00110599,0.00110599,0.00110599
4,203.161,1.97243,2.45616,2.13312,0.31075,0.07945,0.05423,0.0209,2.40502,13.6327,2.84743,0.0011093,0.0011093,0.0011093
5,248.579,1.94079,2.26002,2.0852,0.35246,0.14802,0.10083,0.03992,nan,nan,nan,0.00110799,0.00110799,0.00110799
6,295.567,1.89153,2.22765,2.01825,0.24065,0.28745,0.18032,0.06527,1.8773,2.60712,2.38462,0.0011063,0.0011063,0.0011063
7,342.922,1.86103,2.09641,2.03162,0.14168,0.25131,0.15469,0.06307,2.0575,2.41079,2.63098,0.00110423,0.00110423,0.00110423
8,388.166,1.8639,2.12609,2.01538,0.24326,0.17807,0.13453,0.05124,1.9127,2.75017,2.42978,0.00110179,0.00110179,0.00110179
9,433.201,1.86149,2.03054,1.97211,0.23252,0.19583,0.13837,0.0479,2.07214,2.6211,2.5245,0.00109898,0.00109898,0.00109898
10,478.634,1.79723,2.03558,1.96959,0.29436,0.39481,0.29174,0.10352,1.7851,2.1364,2.33503,0.0010958,0.0010958,0.0010958
11,524.471,1.74493,1.84879,1.95152,0.40822,0.22621,0.21077,0.08532,1.78147,2.01229,2.28029,0.00109226,0.00109226,0.00109226
12,569.749,1.69026,1.76449,1.86819,0.2938,0.43357,0.26332,0.11278,1.79441,2.08685,2.22252,0.00108835,0.00108835,0.00108835
13,614.573,1.69316,1.76851,1.87395,0.6162,0.33981,0.3418,0.13486,1.70601,1.85679,2.25361,0.00108408,0.00108408,0.00108408
14,658.229,1.65564,1.68145,1.85689,0.42321,0.37676,0.35535,0.13319,1.69151,1.74652,2.18278,0.00107946,0.00107946,0.00107946
15,703.436,1.68692,1.72513,1.88241,0.3363,0.31801,0.28972,0.11256,1.72353,2.5021,2.23396,0.00107447,0.00107447,0.00107447
16,747.324,1.66536,1.63788,1.84745,0.43805,0.43854,0.36596,0.14119,1.73398,1.64104,2.22327,0.00106914,0.00106914,0.00106914
17,791.302,1.67363,1.61289,1.83274,0.48522,0.42965,0.39266,0.15843,1.61071,1.66621,2.10444,0.00106345,0.00106345,0.00106345
18,835.593,1.6324,1.64377,1.84469,0.39513,0.40669,0.35532,0.14134,1.65357,1.69373,2.14817,0.00105743,0.00105743,0.00105743
19,879.773,1.66514,1.59964,1.83056,0.6114,0.16738,0.18888,0.06447,2.09592,2.81376,2.61706,0.00105106,0.00105106,0.00105106
20,923.041,1.58676,1.52512,1.80842,0.41146,0.45064,0.41257,0.16671,1.70504,1.48687,2.16127,0.00104436,0.00104436,0.00104436
21,969.684,1.55335,1.42046,1.77927,0.58924,0.44326,0.4598,0.18892,1.62876,1.3661,2.07519,0.00103732,0.00103732,0.00103732
22,1013.78,1.59299,1.43712,1.78819,0.39558,0.43606,0.39377,0.16594,1.63556,1.80934,2.10038,0.00102996,0.00102996,0.00102996
23,1057.7,1.63724,1.58891,1.78919,0.43722,0.44654,0.39925,0.15553,1.68076,2.41293,2.17941,0.00102228,0.00102228,0.00102228
24,1101.24,1.54595,1.53154,1.76023,0.48686,0.47563,0.43187,0.18624,1.58876,1.45556,2.09338,0.00101428,0.00101428,0.00101428
25,1145.16,1.59309,1.46701,1.81837,0.57841,0.48867,0.48779,0.20041,1.57329,1.49718,2.03561,0.00100597,0.00100597,0.00100597
26,1189.18,1.45409,1.38508,1.70893,0.35347,0.46871,0.41861,0.17174,1.61114,1.39476,2.09655,0.000997356,0.000997356,0.000997356
27,1234.98,1.55242,1.42528,1.75047,0.48031,0.44138,0.42817,0.18054,1.57155,1.46053,2.05332,0.000988443,0.000988443,0.000988443
28,1279.25,1.5498,1.38191,1.72058,0.53728,0.4373,0.4463,0.19661,1.61852,1.57656,2.11142,0.000979236,0.000979236,0.000979236
29,1326.33,1.52909,1.34696,1.7276,0.47748,0.39602,0.42431,0.18603,1.57047,1.43489,2.04529,0.000969744,0.000969744,0.000969744
30,1369.95,1.50355,1.32509,1.69439,0.51334,0.48321,0.49277,0.19612,1.73466,1.40069,2.15378,0.000959971,0.000959971,0.000959971
31,1413.73,1.56276,1.41421,1.74028,0.45865,0.49903,0.47626,0.19771,1.57347,1.3121,2.03467,0.000949925,0.000949925,0.000949925
32,1457.73,1.55489,1.30768,1.74904,0.49433,0.50164,0.46822,0.19284,1.51726,1.32526,2.00763,0.000939612,0.000939612,0.000939612
33,1501.47,1.52326,1.31443,1.7526,0.46817,0.47115,0.4597,0.18745,1.56707,1.42438,2.02754,0.00092904,0.00092904,0.00092904
34,1546.2,1.54326,1.29174,1.72495,0.68118,0.45957,0.51354,0.21516,1.56122,1.2882,2.01503,0.000918216,0.000918216,0.000918216
35,1589.94,1.48806,1.31577,1.72074,0.48478,0.48427,0.49847,0.202,1.60304,1.3008,2.02229,0.000907147,0.000907147,0.000907147
36,1633.38,1.50274,1.25755,1.71199,0.54382,0.56303,0.52512,0.22,1.49742,1.19085,1.97451,0.00089584,0.00089584,0.00089584
37,1677.2,1.43357,1.2303,1.69718,0.52421,0.52525,0.49872,0.21412,1.53438,1.25053,2.02629,0.000884305,0.000884305,0.000884305
38,1720.9,1.44949,1.2403,1.65977,0.51038,0.50206,0.46951,0.18332,1.74915,1.43424,2.21891,0.000872547,0.000872547,0.000872547
39,1764.57,1.43297,1.2673,1.63078,0.43496,0.52297,0.45773,0.18173,1.61892,1.31904,2.07681,0.000860577,0.000860577,0.000860577
40,1808.19,1.4485,1.21443,1.67256,0.55313,0.61096,0.52379,0.22169,1.51983,1.19704,1.95938,0.0008484,0.0008484,0.0008484
41,1851.86,1.41238,1.13267,1.63259,0.57093,0.49475,0.51151,0.22595,1.60441,1.24399,2.01868,0.000836028,0.000836028,0.000836028
42,1895.39,1.3924,1.10811,1.61375,0.71437,0.417,0.51745,0.21613,1.54057,1.21472,2.01313,0.000823466,0.000823466,0.000823466
43,1939.15,1.48767,1.2118,1.67145,0.576,0.5422,0.54955,0.22658,1.54196,1.16893,2.02419,0.000810725,0.000810725,0.000810725
44,1982.91,1.39661,1.11629,1.62796,0.53737,0.55406,0.52128,0.22209,1.54178,1.22491,1.99942,0.000797812,0.000797812,0.000797812
45,2026.38,1.34091,1.13283,1.59632,0.60493,0.50253,0.51338,0.22182,1.54672,1.15954,2.0225,0.000784738,0.000784738,0.000784738
46,2070.09,1.41168,1.13351,1.61685,0.56223,0.47092,0.50148,0.22011,1.52144,1.17523,1.98095,0.00077151,0.00077151,0.00077151
