epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9772,1.64334,2.43939,1.78732,0.8006,0.14844,0.14312,0.05103,2.05476,4.14589,2.79086,0.000488636,0.000488636,0.0679129
2,59.6144,1.77092,1.78304,1.79401,0.09397,0.29476,0.06449,0.022,2.59146,5.652,3.77799,0.000988469,0.000988469,0.0350794
3,77.9709,1.75264,1.81532,1.81561,0.06618,0.3386,0.05645,0.01641,2.39749,4.56114,3.02364,0.00148763,0.00148763,0.0022452
4,96.3632,1.69589,1.73169,1.78195,0.35929,0.17387,0.12211,0.05028,2.41072,5.60836,3.27057,0.00149771,0.00149771,0.00149771
5,114.642,1.70126,1.668,1.755,0.22591,0.31155,0.19639,0.07988,2.1091,4.58649,2.59556,0.00149593,0.00149593,0.00149593
6,132.9,1.64164,1.49589,1.69104,0.57253,0.31508,0.3308,0.12441,2.01046,3.30034,2.42478,0.00149365,0.00149365,0.00149365
7,151.053,1.66386,1.56301,1.70201,0.40206,0.32879,0.32886,0.15704,1.73618,2.93071,2.06751,0.00149086,0.00149086,0.00149086
8,169.299,1.5423,1.42396,1.61536,0.24789,0.26265,0.17316,0.0602,1.95395,3.33984,2.45401,0.00148757,0.00148757,0.00148757
9,187.494,1.61875,1.49105,1.694,0.49928,0.39454,0.39397,0.17536,1.80034,2.45568,2.10574,0.00148377,0.00148377,0.00148377
10,205.941,1.61713,1.4515,1.69113,0.6929,0.51136,0.55826,0.2168,1.74474,1.80304,2.12167,0.00147948,0.00147948,0.00147948
11,224.209,1.54426,1.43096,1.60798,0.61791,0.42797,0.48505,0.21857,1.4864,2.0635,1.83898,0.0014747,0.0014747,0.0014747
12,242.336,1.53212,1.366,1.60483,0.39716,0.44372,0.39225,0.17544,1.6995,2.04166,2.07917,0.00146942,0.00146942,0.00146942
13,260.538,1.50436,1.5045,1.5654,0.59024,0.42555,0.46163,0.19749,1.72041,1.90297,2.03063,0.00146366,0.00146366,0.00146366
14,278.863,1.48921,1.39095,1.59253,0.5364,0.40915,0.45041,0.20545,1.66752,1.58266,1.88718,0.00145741,0.00145741,0.00145741
15,296.953,1.46818,1.25144,1.56479,0.54721,0.5599,0.55431,0.25907,1.47294,1.29724,1.80298,0.00145068,0.00145068,0.00145068
16,315.377,1.4797,1.23447,1.53785,0.66246,0.66803,0.65705,0.29756,1.50097,1.21197,1.81423,0.00144348,0.00144348,0.00144348
17,333.528,1.47422,1.22263,1.55126,0.76051,0.5044,0.61225,0.27474,1.65528,1.36933,1.97147,0.00143581,0.00143581,0.00143581
18,351.827,1.46936,1.19685,1.5399,0.59121,0.57908,0.5684,0.26296,1.52288,1.25783,1.8119,0.00142767,0.00142767,0.00142767
19,369.929,1.38532,1.24567,1.46588,0.5466,0.61199,0.59429,0.26644,1.52518,1.30389,1.81881,0.00141907,0.00141907,0.00141907
20,388.156,1.4608,1.22166,1.56545,0.51919,0.41922,0.40985,0.17035,1.79321,1.88054,2.16558,0.00141002,0.00141002,0.00141002
21,406.667,1.47291,1.1964,1.54077,0.65608,0.61711,0.63783,0.29455,1.46505,1.68939,1.77974,0.00140052,0.00140052,0.00140052
22,424.477,1.38715,1.13724,1.47333,0.62149,0.50738,0.4806,0.22337,1.69352,1.89161,1.92961,0.00139059,0.00139059,0.00139059
23,442.76,1.43299,1.12315,1.52051,0.59716,0.52963,0.52511,0.2435,1.54956,1.31351,1.90101,0.00138021,0.00138021,0.00138021
24,461.106,1.3862,1.19403,1.50021,0.45735,0.54713,0.47403,0.21742,1.45737,1.64738,1.77393,0.00136941,0.00136941,0.00136941
25,479.479,1.36357,1.14129,1.48738,0.66884,0.57552,0.59245,0.28901,1.47955,1.24071,1.82271,0.0013582,0.0013582,0.0013582
26,498.114,1.42878,1.14002,1.50866,0.64861,0.53373,0.61312,0.28243,1.50395,1.1998,1.82214,0.00134656,0.00134656,0.00134656
27,516.386,1.36579,1.15466,1.50217,0.66677,0.60278,0.61363,0.27657,1.51036,1.17039,1.81826,0.00133453,0.00133453,0.00133453
28,534.89,1.40699,1.11074,1.4986,0.73972,0.50291,0.56556,0.26227,1.53781,1.33904,1.84373,0.0013221,0.0013221,0.0013221
29,553.009,1.38662,1.08984,1.46534,0.75255,0.54277,0.65006,0.28927,1.47056,1.23355,1.77683,0.00130929,0.00130929,0.00130929
30,571.357,1.33836,1.02443,1.45903,0.69483,0.63887,0.65792,0.29051,1.58594,1.15095,1.90202,0.00129609,0.00129609,0.00129609
